Name,Dosage,Expiration,Quantity
Acetaminofen Tabletas,500 mg,Dec-17,850
Acetaminofen Tabletas,500 mg,Dec-16,500
Acetaminofen Tabletas,325 mg,Dec-16,120
Acetaminofen Tabletas,80 mg,Apr-17,180
Ciprofloxacina Tabletas,500 mg,Mar-17,60
Ibuprofen Tabletas,600 mg,Dec-17,200
Ibuprofen Tabletas,400 mg,Aug-17,340
Ibuprofen Tabletas,400 mg,Mar-17,210
Ibuprofen Tabletas,200 mg,Dec-17,240
Ibuprofen Gotas,100 mg,Feb-17,110
Loratadina Tabletas,10 mg,May-17,70
Omeprazol,20 mg,Feb-17,40
Rainitidina,150 mg,Aug-17,130
Zinc Tabletas,50mg,Dec-17,90
